Comparison stage no.,data//output//runtimePerformance//GDE3//SolutionSetSize50//,data//output//runtimePerformance//GDE3//SolutionSetSize100//,data//output//runtimePerformance//GDE3//SolutionSetSize200//,data//output//runtimePerformance//GDE3//SolutionSetSize300//,data//output//runtimePerformance//GDE3//SolutionSetSize400//,data//output//runtimePerformance//GDE3//SolutionSetSize500//
232,90.83934092018069,90.24174528257282,84.88787136687543,74.71900572973951,62.37654088220053,48.530587130680296
233,90.85596856206936,90.26400298360582,84.88787136687543,74.71900572973951,62.37654088220053,48.530587130680296
234,90.86429452121382,90.28340072053733,85.03058880343875,75.18726066227701,62.37654088220053,48.530587130680296
235,90.8780055793428,90.30100385795005,85.03058880343875,75.18726066227701,62.37654088220053,49.97208755785191
236,90.88786099369365,90.31789559273601,85.18127089826284,75.18726066227701,63.44413826914928,49.97208755785191
237,90.90387094220661,90.3343586850253,85.18127089826284,75.67561464831579,63.44413826914928,49.97208755785191
238,90.92015016728915,90.35231159717944,85.31963559135359,75.67561464831579,63.44413826914928,49.97208755785191
239,90.93239421315944,90.37020668878665,85.31963559135359,75.67561464831579,63.44413826914928,49.97208755785191
240,90.94107060450882,90.3901654769215,85.44905748529268,76.11744231534792,64.32863582511459,51.37310694484345
241,90.95100078253542,90.40787238224691,85.44905748529268,76.11744231534792,64.32863582511459,51.37310694484345
242,90.96275412904876,90.42725318683614,85.57683404728094,76.11744231534792,64.32863582511459,51.37310694484345
243,90.98000333315616,90.44852181450106,85.57683404728094,76.50751258348231,64.32863582511459,51.37310694484345
244,90.99333696135317,90.46576080617456,85.71057195789014,76.50751258348231,65.18139949747291,51.37310694484345
245,90.99877954390026,90.48485991724715,85.71057195789014,76.50751258348231,65.18139949747291,52.79641641422121
246,91.01403106565802,90.50119043478499,85.85078358276057,76.95107753717822,65.18139949747291,52.79641641422121
247,91.03024222438926,90.51825204982985,85.85078358276057,76.95107753717822,65.18139949747291,52.79641641422121
248,91.03700297141975,90.53599263442229,85.97104097641646,76.95107753717822,65.90670435641805,52.79641641422121
249,91.04479226661891,90.5498998662831,85.97104097641646,77.34476539735738,65.90670435641805,52.79641641422121
250,91.05619242911082,90.56680185314043,86.08280923961108,77.34476539735738,65.90670435641805,54.18340255205476
251,91.06637651444709,90.58320222210659,86.08280923961108,77.34476539735738,65.90670435641805,54.18340255205476
252,91.07315938953387,90.60132442976325,86.18535700982821,77.80130498283984,66.73941475918386,54.18340255205476
253,91.08180937563851,90.62433403992641,86.18535700982821,77.80130498283984,66.73941475918386,54.18340255205476
254,91.0988435481297,90.63592709361689,86.2933085764227,77.80130498283984,66.73941475918386,54.18340255205476
255,91.11206040166367,90.65264788127905,86.2933085764227,78.15066598617051,66.73941475918386,55.36760919351107
256,91.12150533967794,90.6649112411118,86.40040504520809,78.15066598617051,67.51407230057629,55.36760919351107
257,91.12759497584179,90.68247829716542,86.40040504520809,78.15066598617051,67.51407230057629,55.36760919351107
258,91.14115205549159,90.70004103198454,86.51073804809867,78.52236336001148,67.51407230057629,55.36760919351107
259,91.14975112857202,90.72199115974857,86.51073804809867,78.52236336001148,67.51407230057629,55.36760919351107
260,91.16301658425294,90.73783223886552,86.61801085337254,78.52236336001148,68.25757016326655,56.569963271469746
261,91.17025517672384,90.74992888449921,86.61801085337254,78.86146270206656,68.25757016326655,56.569963271469746
262,91.18184121867112,90.76226371554256,86.71140065096276,78.86146270206656,68.25757016326655,56.569963271469746
263,91.1901281335334,90.77784423084435,86.71140065096276,78.86146270206656,68.25757016326655,56.569963271469746
264,91.19910241798395,90.79118720960831,86.80150597000416,79.21278540387813,69.0393982082931,56.569963271469746
265,91.21511474077381,90.8092810109594,86.80150597000416,79.21278540387813,69.0393982082931,57.79873772087454
266,91.22378873889744,90.81976047269242,86.90428362649725,79.21278540387813,69.0393982082931,57.79873772087454
267,91.22875166665308,90.83176474277843,86.90428362649725,79.51186617310643,69.0393982082931,57.79873772087454
268,91.24470508836822,90.8534297978356,86.99973915761922,79.51186617310643,69.71656178237248,57.79873772087454
269,91.25932732080898,90.86906590989516,86.99973915761922,79.51186617310643,69.71656178237248,57.79873772087454
270,91.27149963027745,90.8871311254725,87.10086810058093,79.83128915277541,69.71656178237248,58.9108604452093
271,91.28115246951518,90.90211913261683,87.10086810058093,79.83128915277541,69.71656178237248,58.9108604452093
272,91.28918791181218,90.91399703605532,87.19214284030478,79.83128915277541,70.37526879842072,58.9108604452093
273,91.30136765463365,90.92920141827767,87.19214284030478,80.11127774195566,70.37526879842072,58.9108604452093
274,91.31405622424244,90.9407959816597,87.27809294374273,80.11127774195566,70.37526879842072,58.9108604452093
275,91.32712009945011,90.95397500240952,87.27809294374273,80.11127774195566,70.37526879842072,60.05667814624274
276,91.34015937389377,90.96983730451166,87.35992317105993,80.37556205026094,71.0220057707298,60.05667814624274
277,91.34648404280266,90.98396499072064,87.35992317105993,80.37556205026094,71.0220057707298,60.05667814624274
278,91.35543757506495,90.99538293781244,87.44834255125002,80.37556205026094,71.0220057707298,60.05667814624274
279,91.36907073295264,91.00642831285525,87.44834255125002,80.64864821327859,71.0220057707298,60.05667814624274
280,91.37770027451958,91.01650244820354,87.52945650598092,80.64864821327859,71.62136701205718,61.097567164852116
281,91.38689857616707,91.02921351312813,87.52945650598092,80.64864821327859,71.62136701205718,61.097567164852116
282,91.3966103388498,91.04249596224727,87.60447582586681,80.95323849002716,71.62136701205718,61.097567164852116
283,91.40594070594406,91.05786920249406,87.60447582586681,80.95323849002716,71.62136701205718,61.097567164852116
284,91.41654170263314,91.06855688219538,87.69168936418481,80.95323849002716,72.21217541420314,61.097567164852116
285,91.424211941094,91.08328552793532,87.69168936418481,81.22396250405028,72.21217541420314,62.0676531213919
286,91.43310839301914,91.09553621449508,87.76793974622368,81.22396250405028,72.21217541420314,62.0676531213919
287,91.44286264963053,91.106872415737,87.76793974622368,81.22396250405028,72.21217541420314,62.0676531213919
288,91.44986798922362,91.12102918177432,87.8346350591742,81.4762430212648,72.81103404692145,62.0676531213919
289,91.45701127689881,91.13303717490437,87.8346350591742,81.4762430212648,72.81103404692145,62.0676531213919
290,91.4689363967104,91.14398621132368,87.91154968018391,81.4762430212648,72.81103404692145,63.02677572235189
291,91.48166940805113,91.15664878230753,87.91154968018391,81.72483918400599,72.81103404692145,63.02677572235189
292,91.48918113008662,91.16797291839933,87.98018397320178,81.72483918400599,73.33898388201439,63.02677572235189
