Comparison stage no.,data//output//runtimePerformance//SPEA2//SolutionSetSize200//,data//output//runtimePerformance//NSGA2//SolutionSetSize200//,data//output//runtimePerformance//GDE3//SolutionSetSize200//,data//output//runtimePerformance//MOEAD_DRA//SolutionSetSize595//,data//output//runtimePerformance//DECMO//SolutionSetSize200//,data//output//runtimePerformance//DECMO2//SolutionSetSize200//,data//output//runtimePerformance//DECMO2++//SolutionSetSize200//
261,79.11103054219207,79.24697731544988,78.71224484608203,69.16504076760076,80.03985034199081,80.26833168934206,79.96785075270915
262,79.1190793040381,79.25764422801716,78.75374029010716,69.16907721031329,80.05317042012692,80.27974121922833,79.98017467803858
263,79.1190793040381,79.25764422801716,78.75374029010716,69.18013035380557,80.05317042012692,80.27974121922833,79.98017467803858
264,79.12951860842537,79.2701006701357,78.80228311087015,69.18784016913253,80.06455304929516,80.28921469501888,79.98819791535017
265,79.12951860842537,79.2701006701357,78.80228311087015,69.28556327482086,80.06455304929516,80.28921469501888,79.98819791535017
266,79.13933300435801,79.28338690929559,78.84116259874783,69.31109640214956,80.074642631858,80.29747259168022,79.99741071747265
267,79.13933300435801,79.28338690929559,78.84116259874783,69.32145846040126,80.074642631858,80.29747259168022,79.99741071747265
268,79.14761108900535,79.29584414870544,78.88976650052449,69.35639382918102,80.0865288845419,80.30769566814087,80.00452620770639
269,79.14761108900535,79.29584414870544,78.88976650052449,69.365088327528,80.0865288845419,80.30769566814087,80.00452620770639
270,79.15378129860906,79.30779251244763,78.92544748538347,69.38296908444768,80.0944773748035,80.31639419938335,80.0152395073138
271,79.15378129860906,79.30779251244763,78.92544748538347,69.40584797000045,80.0944773748035,80.31639419938335,80.0152395073138
272,79.1616963880003,79.31972167958877,78.95552840786031,69.42238965418431,80.1039286494026,80.32553214704974,80.0243350129049
273,79.1616963880003,79.31972167958877,78.95552840786031,69.43098375062377,80.1039286494026,80.32553214704974,80.0243350129049
274,79.16896780614049,79.33181550209449,78.98503912899265,69.44222071141616,80.11292734101974,80.33757663426526,80.04184919639182
275,79.16896780614049,79.33181550209449,78.98503912899265,69.46977791559198,80.11292734101974,80.33757663426526,80.04184919639182
276,79.17458409223279,79.34708913442334,79.02383647836137,69.48563880062379,80.1236409843709,80.34414159229571,80.05129331562264
277,79.17458409223279,79.34708913442334,79.02383647836137,69.50351978894871,80.1236409843709,80.34414159229571,80.05129331562264
278,79.18622465642723,79.35581802550794,79.05743421300436,69.52417291805689,80.13204127101164,80.35798251158572,80.06792738486143
